FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Chemicals & Plastics,Foreign,US,APD,"Air Products & Chemicals, Inc.",Chemical (Specialty),United States,277.7900085449219,359993257.0,True,
Chemicals & Plastics,Foreign,US,CTVA,"Corteva, Inc.",Chemical (Specialty),United States,82.62000274658203,317476138.0,True,
Chemicals & Plastics,Foreign,US,CF,"CF Industries Holdings, Inc.",Chemical (Specialty),United States,105.69999694824219,296081817.0,True,
Chemicals & Plastics,Foreign,US,PPG,PPG INDUSTRIES INC,Chemical (Specialty),United States,123.23999786376953,207456756.0,True,
Chemicals & Plastics,Foreign,US,IP,INTERNATIONAL PAPER CO /NEW/,Packaging & Container,United States,38.7599983215332,201576755.0,True,
Chemicals & Plastics,Foreign,US,BALL,BALL Corp,Packaging & Container,United States,61.790000915527344,183645257.0,True,
Chemicals & Plastics,Foreign,US,DD,"DuPont de Nemours, Inc.",Chemical (Specialty),United States,137.22000122070312,163632419.0,True,
Chemicals & Plastics,Foreign,US,PKG,PACKAGING CORP OF AMERICA,Packaging & Container,United States,241.5500030517578,148319707.0,True,
Chemicals & Plastics,Foreign,US,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,Chemical (Specialty),United States,76.3499984741211,144329990.0,True,
Chemicals & Plastics,Foreign,US,ESI,Element Solutions Inc,Chemical (Specialty),United States,45.65999984741211,125302717.0,True,
Chemicals & Plastics,Foreign,US,CCK,"CROWN HOLDINGS, INC.",Packaging & Container,United States,110.62000274658203,112617644.0,True,
Chemicals & Plastics,Foreign,US,NEU,NEWMARKET CORP,Chemical (Specialty),United States,792.8200073242188,88878102.0,True,
Chemicals & Plastics,Foreign,US,AXTA,Axalta Coating Systems Ltd.,Chemical (Specialty),United States,34.5,80913532.0,True,
Chemicals & Plastics,Foreign,US,RPM,RPM INTERNATIONAL INC/DE/,Chemical (Specialty),United States,112.45999908447266,77103940.0,True,
Chemicals & Plastics,Foreign,US,EMN,EASTMAN CHEMICAL CO,Chemical (Specialty),United States,70.70999908447266,77014129.0,True,
Chemicals & Plastics,Foreign,US,SON,SONOCO PRODUCTS CO,Packaging & Container,United States,55.11000061035156,66110109.0,True,
Chemicals & Plastics,Foreign,US,HUN,Huntsman CORP,Chemical (Diversified),United States,11.40999984741211,61474032.0,True,
Chemicals & Plastics,Foreign,US,ATR,"APTARGROUP, INC.",Packaging & Container,United States,125.9800033569336,54533884.0,True,
Chemicals & Plastics,Foreign,US,PRM,"Perimeter Solutions, Inc.",Chemical (Specialty),United States,34.400001525878906,52053756.0,True,
Chemicals & Plastics,Foreign,US,ASH,ASHLAND INC.,Chemical (Specialty),United States,63.939998626708984,51883033.0,True,
Chemicals & Plastics,Foreign,US,SMG,SCOTTS MIRACLE-GRO CO,Chemical (Specialty),United States,69.91000366210938,51588479.0,True,
Chemicals & Plastics,Foreign,US,FUL,FULLER H B CO,Chemical (Specialty),United States,63.25,46127434.0,True,
Chemicals & Plastics,Foreign,US,CBT,CABOT CORP,Chemical (Basic),United States,93.4000015258789,45918587.0,True,
Chemicals & Plastics,Foreign,US,SXT,SENSIENT TECHNOLOGIES CORP,Chemical (Specialty),United States,120.18000030517578,45738971.0,True,
Chemicals & Plastics,Foreign,US,CC,Chemours Co,Chemical (Diversified),United States,20.739999771118164,44170423.0,True,
Chemicals & Plastics,Foreign,US,SLGN,SILGAN HOLDINGS INC,Packaging & Container,United States,46.22999954223633,37438124.0,True,
Chemicals & Plastics,Foreign,US,BCPC,BALCHEM CORP,Chemical (Specialty),United States,171.22000122070312,34302228.0,True,
Chemicals & Plastics,Foreign,US,AVNT,AVIENT CORP,Chemical (Specialty),United States,37.90999984741211,34129484.0,True,
Chemicals & Plastics,Foreign,US,KWR,QUAKER CHEMICAL CORP,Chemical (Specialty),United States,160.6300048828125,20194739.0,True,
Chemicals & Plastics,Foreign,US,HWKN,HAWKINS INC,Chemical (Basic),United States,161.58999633789062,20069548.0,True,
Chemicals & Plastics,Foreign,US,TROX,Tronox Holdings plc,Chemical (Basic),United States,6.690000057220459,19665105.0,True,
Chemicals & Plastics,Foreign,US,TRS,TRIMAS CORP,Packaging & Container,United States,44.58000183105469,19434993.0,True,
Chemicals & Plastics,Foreign,US,ECVT,Ecovyst Inc.,Chemical (Specialty),United States,12.1899995803833,17742467.0,True,
Chemicals & Plastics,Foreign,US,NGVT,Ingevity Corp,Chemical (Specialty),United States,77.12000274658203,16568988.0,True,
Chemicals & Plastics,Foreign,US,IOSP,INNOSPEC INC.,Chemical (Specialty),United States,82.62999725341797,15757886.0,True,
Chemicals & Plastics,Foreign,US,GEF,"GREIF, INC",Packaging & Container,United States,74.86000061035156,15267314.0,True,
Chemicals & Plastics,Foreign,US,ALTO,"Alto Ingredients, Inc.",Chemical (Specialty),United States,5.190000057220459,12997958.0,True,
Chemicals & Plastics,Foreign,US,MTX,MINERALS TECHNOLOGIES INC,Chemical (Specialty),United States,79.80000305175781,12176785.0,True,
Chemicals & Plastics,Foreign,US,MYE,MYERS INDUSTRIES INC,Packaging & Container,United States,32.13999938964844,9785310.0,True,
Chemicals & Plastics,Foreign,US,ASPN,ASPEN AEROGELS INC,Chemical (Specialty),United States,5.630000114440918,7906026.0,True,
Chemicals & Plastics,Foreign,US,IPI,"Intrepid Potash, Inc.",Chemical (Specialty),United States,34.59000015258789,7264532.0,True,
Chemicals & Plastics,Foreign,US,FTK,FLOTEK INDUSTRIES INC/CN/,Chemical (Specialty),United States,22.15999984741211,7077502.0,True,
Chemicals & Plastics,Foreign,US,KOP,Koppers Holdings Inc.,Chemical (Basic),United States,45.119998931884766,6974612.0,True,
Chemicals & Plastics,Foreign,US,SCL,STEPAN CO,Chemical (Specialty),United States,55.709999084472656,6499529.0,True,
Chemicals & Plastics,Foreign,US,ASIX,AdvanSix Inc.,Chemical (Basic),United States,20.270000457763672,4194905.0,True,
Chemicals & Plastics,Foreign,US,PACK,Ranpak Holdings Corp.,Packaging & Container,United States,7.309999942779541,3496219.0,True,
Chemicals & Plastics,Foreign,US,KRO,KRONOS WORLDWIDE INC,Chemical (Basic),United States,6.53000020980835,1699388.0,True,
Chemicals & Plastics,Foreign,US,CMT,CORE MOLDING TECHNOLOGIES INC,Chemical (Basic),United States,23.670000076293945,624368.0,True,
Chemicals & Plastics,India,IN,ASIANPAINT,ASIAN PAINTS LIMITED,Chemical (Specialty),India,2635.699951171875,34403123.0,True,15.312596030837543
Chemicals & Plastics,India,IN,SOLARINDS,SOLAR INDUSTRIES (I) LTD,Chemical (Basic),India,18696.0,21408507.0,True,10.002353494939985
Chemicals & Plastics,India,IN,PIDILITIND,PIDILITE INDUSTRIES LTD,Chemical (Diversified),India,1592.699951171875,12949608.0,True,-46.12158253928376
Chemicals & Plastics,India,IN,CHAMBLFERT,CHAMBAL FERTILIZERS LTD,Chemical (Specialty),India,467.95001220703125,3406133.0,True,-15.049463021347286
Chemicals & Plastics,India,IN,PCBL,PCBL CHEMICAL LIMITED,Chemical (Basic),India,321.1499938964844,3208139.0,True,-17.85394964346071
Chemicals & Plastics,India,IN,ANURAS,ANUPAM RASAYAN INDIA LTD,Chemical (Specialty),India,1264.4000244140625,2997975.0,True,11.548303874200494
Chemicals & Plastics,India,IN,FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Chemical (Specialty),India,3964.0,2790847.0,True,17.160256381578076
Chemicals & Plastics,India,IN,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,Chemical (Basic),India,1178.199951171875,2518429.0,True,25.634460066977272
Chemicals & Plastics,India,IN,NEOGEN,NEOGEN CHEMICALS LIMITED,Chemical (Specialty),India,2024.9000244140625,2122625.0,True,26.9211478893979
Chemicals & Plastics,India,IN,SHARDACROP,SHARDA CROPCHEM LTD.,Chemical (Specialty),India,879.4500122070312,1998041.0,False,10.69922571514157
Chemicals & Plastics,India,IN,SOTL,SAVITA OIL TECHNOLO. LTD,Chemical (Basic),India,513.5,1710816.0,True,23.914094489168946
Chemicals & Plastics,India,IN,GNFC,GUJ NAR VAL FER & CHEM L,Chemical (Specialty),India,543.4000244140625,1650326.0,True,3.930391084956142
Chemicals & Plastics,India,IN,KRISHANA,KRISHANA PHOSCHEM LIMITED,Chemical (Specialty),India,688.0,1148628.0,True,35.10063819342171
Chemicals & Plastics,India,IN,MBAPL,MADHYA BHARAT AGRO P. LTD,Chemical (Specialty),India,562.0,1051053.0,True,49.7269191052069
Chemicals & Plastics,India,IN,FINEORG,FINE ORGANIC IND. LTD.,Chemical (Specialty),India,5295.7998046875,692608.0,True,16.56797540999728
Chemicals & Plastics,India,IN,GANDHAR,GANDHAR OIL REFINE IND L,Chemical (Basic),India,183.4499969482422,676129.0,True,7.690044247351624
Chemicals & Plastics,India,IN,COSMOFIRST,COSMO FIRST LIMITED,Packaging & Container,India,788.25,614612.0,True,-36.686746987951814
Chemicals & Plastics,India,IN,JAICORPLTD,JAI CORP LIMITED,Packaging & Container,India,114.23999786376953,539378.0,False,4.826568494045924
Chemicals & Plastics,India,IN,NOCIL,NOCIL LIMITED,Chemical (Basic),India,179.80999755859375,471667.0,True,-1.8665056206358277
Chemicals & Plastics,India,IN,TATVA,TATVA CHIN PHARM CHEM LTD,Chemical (Specialty),India,1194.300048828125,456863.0,False,30.190230622210645
Chemicals & Plastics,India,IN,ASTEC,ASTEC LIFESCIENCES LTD,Chemical (Specialty),India,711.25,435915.0,True,-6.056000140596107
Chemicals & Plastics,India,IN,GUJALKALI,GUJARAT ALKALIES & CHEM,Chemical (Basic),India,614.4500122070312,382475.0,True,7.760434768972524
Chemicals & Plastics,India,IN,JGCHEM,J.G.CHEMICALS LIMITED,Chemical (Basic),India,425.8500061035156,351137.0,True,8.982727089831254
Chemicals & Plastics,India,IN,ZUARI,ZUARI AGRO CHEMICALS LTD,Chemical (Specialty),India,229.5500030517578,319038.0,False,12.767737180623119
Chemicals & Plastics,India,IN,20MICRONS,20 MICRONS LTD,Chemical (Specialty),India,201.41000366210938,295913.0,True,-10.084819793701172
Electronics & Semiconductors,Foreign,US,MU,MICRON TECHNOLOGY INC,Semiconductor,United States,1132.3299560546875,56720835900.0,True,
Electronics & Semiconductors,Foreign,US,NVDA,NVIDIA CORP,Semiconductor,United States,192.52999877929688,32459242443.0,True,
Electronics & Semiconductors,Foreign,US,SNDK,Sandisk Corp,Computers/Peripherals,United States,2090.7099609375,20336482179.0,True,
Electronics & Semiconductors,Foreign,US,MRVL,"Marvell Technology, Inc.",Semiconductor,United States,266.7699890136719,15613174385.0,True,
Electronics & Semiconductors,Foreign,US,AMD,ADVANCED MICRO DEVICES INC,Semiconductor,United States,521.5800170898438,15464079049.0,True,
