FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Medical Devices,Healthcare Products,Canada,TSXV,NSCI,Nanalysis Scientific Corp. (TSXV:NSCI),CA,,,,-0.14009,-0.41444,0.007,NOT-PROFITABLE,NSCI.V,,False
Medical Devices,Healthcare Products,Canada,TSXV,NGMD,NuGen Medical Devices Inc. (TSXV:NGMD),CA,,,,0.0,,-0.789,UNVERIFIED,NGMD.V,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,TSXV,OTC,Ocumetics Technology Corp. (TSXV:OTC),CA,,,,0.0,,,UNVERIFIED,OTC.V,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,AIM,OBI,Ondine Biomedical Inc. (AIM:OBI),CA,,,,0.0,-5.6971602,0.372,NOT-PROFITABLE,OBI.L,,True
Medical Devices,Healthcare Products,Canada,TSXV,PINK,"Perimeter Medical Imaging AI, Inc. (TSXV:PINK)",CA,,,,0.0,-2.8487,-0.301,NOT-PROFITABLE,PINK.V,,False
Medical Devices,Healthcare Products,Canada,TSX,PRN,Profound Medical Corp. (TSX:PRN),CA,,,,-1.7156,-0.73527,0.123,NOT-PROFITABLE,PRN.TO,,True
Medical Devices,Healthcare Products,Canada,OTCPK,STME,StimCell Energetics Inc. (OTCPK:STME),CA,,,,0.0,,,UNVERIFIED,STME,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,CNSX,VIVI,TempraMed Technologies Ltd. (CNSX:VIVI),CA,,,,0.0,,,UNVERIFIED,VIVI.CN,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,TSXV,TLT,Theralase Technologies Inc. (TSXV:TLT),CA,,,,0.0,-2.4219298,0.454,NOT-PROFITABLE,TLT.V,,True
Medical Devices,Healthcare Products,Canada,TSXV,THRM,Therma Bright Inc. (TSXV:THRM),CA,,,,0.0,,37.714,UNVERIFIED,THRM.V,yfinance_data_gap,True
Medical Devices,Healthcare Products,Canada,TSXV,VPT,Ventripoint Diagnostics Ltd. (TSXV:VPT),CA,,,,0.0,,,UNVERIFIED,VPT.V,yfinance_data_gap,False
