FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252,yf,profit_margin,roe,revenue_growth,verified,expansion_signal
Chemicals & Plastics,India,IN,SOLARINDS,SOLAR INDUSTRIES (I) LTD,Chemical (Basic),India,18696.0,21408507.0,True,10.002353494939983,SOLARINDS.NS,0.17052001,0.31332,0.409,PROFITABLE,True
Chemicals & Plastics,India,IN,PIDILITIND,PIDILITE INDUSTRIES LTD,Chemical (Diversified),India,1592.699951171875,12949608.0,True,-46.12158253928376,PIDILITIND.NS,0.16771999,0.23523001,0.141,PROFITABLE,True
Chemicals & Plastics,India,IN,CHAMBLFERT,CHAMBAL FERTILIZERS LTD,Chemical (Specialty),India,467.9500122070313,3406133.0,True,-15.049463021347286,CHAMBLFERT.NS,0.09394,0.20451,0.137,PROFITABLE,True
Chemicals & Plastics,India,IN,PCBL,PCBL CHEMICAL LIMITED,Chemical (Basic),India,321.1499938964844,3208139.0,True,-17.85394964346071,PCBL.NS,0.02416,0.05125,-0.01,PROFITABLE,False
Chemicals & Plastics,India,IN,ANURAS,ANUPAM RASAYAN INDIA LTD,Chemical (Specialty),India,1264.4000244140625,2997975.0,True,11.548303874200494,ANURAS.NS,0.07192,0.05763,0.275,PROFITABLE,True
Chemicals & Plastics,India,IN,FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Chemical (Specialty),India,3964.0,2790847.0,True,17.160256381578076,FLUOROCHEM.NS,0.11569,0.07547,0.117,PROFITABLE,True
Chemicals & Plastics,India,IN,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,Chemical (Basic),India,1178.199951171875,2518429.0,True,25.634460066977272,CARBORUNIV.NS,0.0374,0.043670002,0.149,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,MU,MICRON TECHNOLOGY INC,Semiconductor,United States,1132.3299560546875,56720835900.0,True,,MU,0.55906,0.66638,3.457,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,NVDA,NVIDIA CORP,Semiconductor,United States,192.52999877929688,32459242443.0,True,,NVDA,0.62966,1.14288,0.852,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,SNDK,Sandisk Corp,Computers/Peripherals,United States,2090.7099609375,20336482179.0,True,,SNDK,0.34185,0.39297,2.51,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,MRVL,"Marvell Technology, Inc.",Semiconductor,United States,266.7699890136719,15613174385.0,True,,MRVL,0.28986,0.16028,0.276,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,AMD,ADVANCED MICRO DEVICES INC,Semiconductor,United States,521.5800170898438,15464079049.0,True,,AMD,0.13374,0.08063,0.378,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,AAPL,Apple Inc.,Computers/Peripherals,United States,283.7799987792969,15350138470.0,True,,AAPL,0.27152002,1.4147099,0.166,PROFITABLE,True
Electronics & Semiconductors,Foreign,US,INTC,INTEL CORP,Semiconductor,United States,128.32000732421875,15333692114.0,True,,INTC,-0.05904,-0.02911,0.072,NOT-PROFITABLE,False
Electronics & Semiconductors,Foreign,US,AVGO,Broadcom Inc.,Semiconductor,United States,365.0199890136719,14117877951.0,True,,AVGO,0.38848,0.37280998,0.479,PROFITABLE,True
Electronics & Semiconductors,India,IN,NETWEB,NETWEB TECH INDIA LTD,Computers/Peripherals,India,4538.2001953125,131960416.0,True,157.25300482503312,NETWEB.NS,0.09426,0.32834998,0.866,PROFITABLE,True
Electronics & Semiconductors,India,IN,TEJASNET,TEJAS NETWORKS LIMITED,Telecom. Equipment,India,612.5,56906634.0,True,-12.68709907341411,TEJASNET.NS,-0.82381,-0.26822,-0.826,NOT-PROFITABLE,False
Electronics & Semiconductors,India,IN,SYRMA,SYRMA SGS TECHNOLOGY LTD,Electronics (General),India,1396.300048828125,17101277.0,True,175.59460488484845,SYRMA.NS,0.06594,0.14142999,0.584,PROFITABLE,True
Electronics & Semiconductors,India,IN,PREMIERENE,PREMIER ENERGIES LIMITED,Semiconductor,India,1051.0,12716447.0,True,2.197586060814616,PREMIERENE.NS,0.19296,0.42333,0.376,PROFITABLE,True
Electronics & Semiconductors,India,IN,CPPLUS,ADITYA INFOTECH LIMITED,Electronics (General),India,3647.0,12003517.0,True,,CPPLUS.NS,0.08718,0.25425,0.455,PROFITABLE,True
Electronics & Semiconductors,India,IN,KERNEX,KERNEX MICROSYS(I) LTD,Electronics (General),India,2159.89990234375,6593509.0,True,,KERNEX.NS,0.20533001,0.43605998,2.065,PROFITABLE,True
Electronics & Semiconductors,India,IN,AVALON,AVALON TECHNOLOGIES LTD,Electronics (General),India,1801.9000244140625,5639923.0,True,115.65436547651946,AVALON.NS,0.0692,0.16943,0.4,PROFITABLE,True
Electronics & Semiconductors,India,IN,VINDHYATEL,VINDHYA TELELINKS LTD,Telecom. Equipment,India,2078.800048828125,2389709.0,True,22.167376507648378,VINDHYATEL.NS,0.061279997,0.05311,-0.18,PROFITABLE,True
Food Processing,Foreign,US,MDLZ,"Mondelez International, Inc.",Food Processing,United States,60.790000915527344,532823825.0,True,,MDLZ,0.06638,0.101610005,0.082,PROFITABLE,False
Food Processing,Foreign,US,KHC,Kraft Heinz Co,Food Processing,United States,23.700000762939453,322979628.0,True,,KHC,-0.23049,-0.12576,0.008,NOT-PROFITABLE,False
Food Processing,Foreign,US,SJM,J M SMUCKER Co,Food Processing,United States,115.63999938964844,170539667.0,True,,SJM,-0.015319999,-0.02386,0.058,NOT-PROFITABLE,False
Food Processing,Foreign,US,HRL,HORMEL FOODS CORP /DE/,Food Processing,United States,26.510000228881836,104560896.0,True,,HRL,0.03821,0.05831,-0.029,PROFITABLE,False
Food Processing,Foreign,US,SEB,SEABOARD CORP /DE/,Food Processing,United States,4738.080078125,60137708.0,True,,SEB,0.059310004,0.11635,0.036,PROFITABLE,False
Food Processing,Foreign,US,SFD,SMITHFIELD FOODS INC,Food Processing,United States,25.1200008392334,29638437.0,True,,SFD,0.06485,0.14953,0.008,PROFITABLE,False
Food Processing,Foreign,US,JBSS,SANFILIPPO JOHN B & SON INC,Food Processing,United States,87.06999969482422,9538973.0,True,,JBSS,0.057589997,0.18265,0.08,PROFITABLE,False
Food Processing,Foreign,US,MAMA,"Mama's Creations, Inc.",Food Processing,United States,19.940000534057617,9103583.0,True,,MAMA,0.03227,0.14929,0.497,PROFITABLE,True
Food Processing,India,IN,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Food Processing,India,554.9500122070312,2797040.0,True,-6.676197860438937,BALRAMCHIN.NS,0.060349997,0.095410004,0.067,PROFITABLE,False
Food Processing,India,IN,KRBL,KRBL LIMITED,Food Processing,India,375.25,1980797.0,True,9.610046242130489,KRBL.NS,0.10627,0.11731,0.058,PROFITABLE,True
Food Processing,India,IN,TRIVENI,TRIVENI ENGG. & INDS. LTD,Food Processing,India,422.5499877929687,1808007.0,True,7.656047845342351,TRIVENI.NS,0.042719997,0.082650006,-0.074,PROFITABLE,True
Food Processing,India,IN,APEX,APEX FROZEN FOODS LIMITED,Food Processing,India,404.0,1282308.0,True,75.1343908562623,APEX.NS,0.03447,,0.145,UNVERIFIED,True
Food Processing,India,IN,SANSTAR,SANSTAR LIMITED,Food Processing,India,121.47000122070312,754643.0,True,33.43952856157708,SANSTAR.NS,0.043909997,0.05092,-0.145,PROFITABLE,True
Food Processing,India,IN,AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED,Food Processing,India,469.9500122070313,600638.0,True,,AVADHSUGAR.NS,0.02128,0.0515,-0.012,PROFITABLE,False
Food Processing,India,IN,DIAMONDYD,PRATAAP SNACKS LIMITED,Food Processing,India,1150.5999755859375,310606.0,True,13.482586831070886,DIAMONDYD.NS,0.00563,0.01398,0.049,PROFITABLE,True
Green Energy & Fuels,Foreign,US,NEE,NEXTERA ENERGY INC,Power,United States,88.55999755859375,997717946.0,True,,NEE,0.29369,0.10325,0.073,PROFITABLE,False
