FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Food Processing,India,IN,AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED,Food Processing,India,469.95001220703125,600638.0,True,
Food Processing,India,IN,DIAMONDYD,PRATAAP SNACKS LIMITED,Food Processing,India,1150.5999755859375,310606.0,True,13.482586831070886
Green Energy & Fuels,Foreign,US,NEE,NEXTERA ENERGY INC,Power,United States,88.55999755859375,997717946.0,True,
Green Energy & Fuels,Foreign,US,AXP,AMERICAN EXPRESS CO,Oil/Gas (Production and Exploration),United States,340.3599853515625,975729159.0,True,
Green Energy & Fuels,Foreign,US,COP,CONOCOPHILLIPS,Oil/Gas (Production and Exploration),United States,105.95999908447266,788723957.0,True,
Green Energy & Fuels,Foreign,US,AEP,AMERICAN ELECTRIC POWER CO INC,Power,United States,138.69000244140625,684400016.0,True,
Green Energy & Fuels,Foreign,US,SO,SOUTHERN CO,Power,United States,97.16000366210938,654633549.0,True,
Green Energy & Fuels,Foreign,US,DVN,DEVON ENERGY CORP/DE,Oil/Gas (Production and Exploration),United States,42.209999084472656,642399931.0,True,
Green Energy & Fuels,Foreign,US,FANG,"Diamondback Energy, Inc.",Oil/Gas (Production and Exploration),United States,179.91000366210938,525599528.0,True,
Green Energy & Fuels,Foreign,US,EOG,EOG RESOURCES INC,Oil/Gas (Production and Exploration),United States,132.60000610351562,506418951.0,True,
Green Energy & Fuels,India,IN,PTC,PTC INC.,Power,India,180.97999572753906,266578358.0,True,6.653304922917447
Green Energy & Fuels,India,IN,ADANIPOWER,ADANI POWER LTD,Power,India,223.77000427246094,66355796.0,True,-57.79915053796116
Green Energy & Fuels,India,IN,NTPC,NTPC LTD,Power,India,356.6499938964844,55160895.0,True,6.399158982191455
Green Energy & Fuels,India,IN,COALINDIA,COAL INDIA LTD,Coal & Related Energy,India,439.04998779296875,45184977.0,True,12.85181893556755
Green Energy & Fuels,India,IN,ADANIGREEN,ADANI GREEN ENERGY LTD,Green & Renewable Energy,India,1492.199951171875,41485700.0,True,57.45488360781978
Green Energy & Fuels,India,IN,ADANIENSOL,ADANI ENERGY SOLUTION LTD,Power,India,1491.4000244140625,34225193.0,True,80.0990301151494
Green Energy & Fuels,India,IN,NHPC,NHPC LTD,Green & Renewable Energy,India,81.33000183105469,20265998.0,True,-1.1906156683353486
Green Energy & Fuels,India,IN,JPPOWER,JAIPRAKASH POWER VEN. LTD,Power,India,17.670000076293945,15927373.0,True,2.079726293809925
Medical Devices,Foreign,US,EW,Edwards Lifesciences Corp,Healthcare Products,United States,90.77999877929688,416034019.0,True,
Medical Devices,Foreign,US,DXCM,DEXCOM INC,Healthcare Products,United States,70.13999938964844,392351362.0,True,
Medical Devices,Foreign,US,BDX,BECTON DICKINSON & CO,Healthcare Products,United States,155.9199981689453,338326972.0,True,
Medical Devices,Foreign,US,ALGN,ALIGN TECHNOLOGY INC,Healthcare Products,United States,178.42999267578125,177812368.0,True,
Medical Devices,Foreign,US,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Healthcare Products,United States,93.0999984741211,172244257.0,True,
Medical Devices,Foreign,US,MASI,MASIMO CORP,Healthcare Products,United States,179.9499969482422,144129115.0,True,
Medical Devices,Foreign,US,SOLV,Solventum Corp,Healthcare Products,United States,79.52999877929688,140213499.0,True,
Medical Devices,Foreign,US,BAX,BAXTER INTERNATIONAL INC,Healthcare Products,United States,22.040000915527344,135331269.0,True,
Pharma & Bulk Drugs,Foreign,US,LLY,ELI LILLY & Co,Drugs (Pharmaceutical),United States,1208.1199951171875,3285993314.0,True,
Pharma & Bulk Drugs,Foreign,US,JNJ,JOHNSON & JOHNSON,Drugs (Pharmaceutical),United States,254.66000366210938,1915915454.0,True,
Pharma & Bulk Drugs,Foreign,US,ABBV,AbbVie Inc.,Drugs (Biotechnology),United States,253.35000610351562,1292663538.0,True,
Pharma & Bulk Drugs,Foreign,US,MRK,"Merck & Co., Inc.",Drugs (Pharmaceutical),United States,128.66000366210938,1277609237.0,True,
Pharma & Bulk Drugs,Foreign,US,AMGN,AMGEN INC,Drugs (Biotechnology),United States,358.3299865722656,999752052.0,True,
Pharma & Bulk Drugs,Foreign,US,BMY,BRISTOL MYERS SQUIBB CO,Drugs (Pharmaceutical),United States,57.52000045776367,726166527.0,True,
Pharma & Bulk Drugs,Foreign,US,VRTX,VERTEX PHARMACEUTICALS INC / MA,Drugs (Biotechnology),United States,491.3399963378906,669041106.0,True,
Pharma & Bulk Drugs,Foreign,US,RVMD,"Revolution Medicines, Inc.",Drugs (Biotechnology),United States,182.0800018310547,443575095.0,True,
Pharma & Bulk Drugs,India,IN,WOCKPHARMA,WOCKHARDT LIMITED,Drugs (Pharmaceutical),India,1941.4000244140625,49048914.0,True,12.167781930011422
Pharma & Bulk Drugs,India,IN,SUNPHARMA,SUN PHARMACEUTICAL IND L,Drugs (Pharmaceutical),India,1862.5,40510972.0,True,11.85514547524984
Pharma & Bulk Drugs,India,IN,LAURUSLABS,LAURUS LABS LIMITED,Drugs (Pharmaceutical),India,1517.4000244140625,25805150.0,True,133.08756135392662
Pharma & Bulk Drugs,India,IN,CIPLA,CIPLA LTD,Drugs (Pharmaceutical),India,1465.4000244140625,20895759.0,True,-2.2871192821610986
Pharma & Bulk Drugs,India,IN,AUROPHARMA,AUROBINDO PHARMA LTD,Drugs (Pharmaceutical),India,1578.699951171875,17432014.0,True,43.88443505540893
Pharma & Bulk Drugs,India,IN,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,Drugs (Pharmaceutical),India,1112.5999755859375,13442930.0,True,16.246996548589678
Pharma & Bulk Drugs,India,IN,GLAND,GLAND PHARMA LIMITED,Drugs (Pharmaceutical),India,2495.0,12500585.0,True,44.77196034903581
Pharma & Bulk Drugs,India,IN,GLENMARK,GLENMARK PHARMACEUTICALS,Drugs (Pharmaceutical),India,2204.300048828125,12437751.0,True,34.6795450962071
Shipbuilding & Marine,Foreign,US,KEX,KIRBY CORP,Shipbuilding & Marine,United States,136.77999877929688,67091170.0,True,
Shipbuilding & Marine,Foreign,US,MATX,"Matson, Inc.",Shipbuilding & Marine,United States,194.49000549316406,50120699.0,True,
Shipbuilding & Marine,Foreign,US,GNK,GENCO SHIPPING & TRADING LTD,Shipbuilding & Marine,United States,23.56999969482422,7766037.0,True,
Shipbuilding & Marine,India,IN,SCI,SERVICE CORP INTERNATIONAL,Shipbuilding & Marine,India,305.29998779296875,135223735.0,True,39.02549148794452
Shipbuilding & Marine,India,IN,ADANIPORTS,ADANI PORT & SEZ LTD,Shipbuilding & Marine,India,1810.199951171875,42426004.0,True,34.158444057275794
Shipbuilding & Marine,India,IN,JSWINFRA,JSW INFRASTRUCTURE LTD,Shipbuilding & Marine,India,322.1499938964844,11158325.0,True,6.902268913783871
Shipbuilding & Marine,India,IN,SHREEJISPG,SHREEJI SHIPPING GLOBAL L,Shipbuilding & Marine,India,491.29998779296875,5765174.0,True,
Shipbuilding & Marine,India,IN,NAVKARCORP,NAVKAR CORPORATION LTD.,Shipbuilding & Marine,India,107.41999816894531,625495.0,True,-1.4947316251232579
Specialty Steel & Metals,Foreign,US,FCX,FREEPORT-MCMORAN INC,Metals & Mining,United States,62.45000076293945,984074746.0,True,
Specialty Steel & Metals,Foreign,US,NUE,NUCOR CORP,Steel,United States,239.77999877929688,399163171.0,True,
Specialty Steel & Metals,Foreign,US,USAR,"USA Rare Earth, Inc.",Metals & Mining,United States,20.469999313354492,363506398.0,True,
Specialty Steel & Metals,Foreign,US,STLD,STEEL DYNAMICS INC,Steel,United States,245.49000549316406,299444377.0,True,
Specialty Steel & Metals,Foreign,US,SCCO,SOUTHERN COPPER CORP/,Metals & Mining,United States,171.25999450683594,284397883.0,True,
Specialty Steel & Metals,Foreign,US,CENX,CENTURY ALUMINUM CO,Metals & Mining,United States,46.33000183105469,135667152.0,True,
Specialty Steel & Metals,Foreign,US,RS,"RELIANCE, INC.",Steel,United States,385.7799987792969,131723845.0,True,
Specialty Steel & Metals,Foreign,US,MTRN,MATERION Corp,Metals & Mining,United States,287.0199890136719,96285603.0,True,
Specialty Steel & Metals,India,IN,SAIL,"SailPoint, Inc.",Steel,India,173.49000549316406,89040454.0,True,36.09193671528721
Specialty Steel & Metals,India,IN,NATIONALUM,NATIONAL ALUMINIUM CO LTD,Metals & Mining,India,339.6000061035156,46091314.0,True,84.57524646148948
Specialty Steel & Metals,India,IN,JINDALSTEL,JINDAL STEEL LIMITED,Steel,India,1060.0999755859375,14126899.0,False,17.913351869157125
Specialty Steel & Metals,India,IN,AEROFLEX,AEROFLEX INDUSTRIES LTD,Steel,India,471.6000061035156,9574389.0,True,130.6450840162488
Specialty Steel & Metals,India,IN,JINDALSAW,JINDAL SAW LIMITED,Steel,India,261.489990234375,5988760.0,True,9.17250566550698
Specialty Steel & Metals,India,IN,MIDHANI,MISHRA DHATU NIGAM LTD,Steel,India,418.45001220703125,5393041.0,True,-5.605679284959287
Specialty Steel & Metals,India,IN,SHYAMMETL,SHYAM METALICS AND ENGY L,Steel,India,950.0,5358535.0,True,14.963396631843096
Specialty Steel & Metals,India,IN,JSL,JINDAL STAINLESS LIMITED,Steel,India,692.6500244140625,4758179.0,False,3.3497481047637168
Textiles & Apparel,Foreign,US,TPR,"TAPESTRY, INC.",Apparel,United States,146.0,418743212.0,True,
Textiles & Apparel,Foreign,US,RL,RALPH LAUREN CORP,Apparel,United States,411.1600036621094,253648183.0,True,
Textiles & Apparel,Foreign,US,DECK,DECKERS OUTDOOR CORP,Shoe,United States,104.55999755859375,195070084.0,True,
Textiles & Apparel,Foreign,US,CROX,"Crocs, Inc.",Shoe,United States,127.76000213623047,152013561.0,True,
Textiles & Apparel,Foreign,US,VFC,V F CORP,Apparel,United States,17.3700008392334,110855041.0,True,
Textiles & Apparel,Foreign,US,KTB,"Kontoor Brands, Inc.",Apparel,United States,83.29000091552734,56891691.0,True,
Textiles & Apparel,Foreign,US,LEVI,LEVI STRAUSS & CO,Apparel,United States,24.540000915527344,48172676.0,True,
Textiles & Apparel,Foreign,US,SHOO,"STEVEN MADDEN, LTD.",Shoe,United States,43.220001220703125,41817471.0,True,
Textiles & Apparel,India,IN,PAGEIND,PAGE INDUSTRIES LTD,Apparel,India,41370.0,8912940.0,True,-7.913188647746239
Textiles & Apparel,India,IN,GOKEX,GOKALDAS EXPORTS LTD.,Apparel,India,873.25,4980288.0,True,0.6512245934823468
Textiles & Apparel,India,IN,KPRMILL,KPR MILL LTD.,Apparel,India,1177.300048828125,3970537.0,True,7.398294222650836
Textiles & Apparel,India,IN,SHANTIGOLD,SHANTI GOLD INTERNATION L,Apparel,India,223.69000244140625,2853792.0,True,
Textiles & Apparel,India,IN,PGIL,PEARL GLOBAL IND LIMITED,Apparel,India,2015.5999755859375,1278948.0,True,35.356927582570854
Textiles & Apparel,India,IN,SPORTKING,SPORTKING INDIA LIMITED,Apparel,India,174.25999450683594,752093.0,True,62.95117872501934
Textiles & Apparel,India,IN,NITINSPIN,NITIN SPINNERS LIMITED,Apparel,India,572.0,733239.0,True,54.44849212183398
Textiles & Apparel,India,IN,LUXIND,LUX INDUSTRIES LIMITED,Apparel,India,1225.4000244140625,566618.0,True,-13.380924103447157
White Goods & Electricals,Foreign,US,BE,Bloom Energy Corp,Electrical Equipment,United States,252.02000427246094,3378835742.0,True,
White Goods & Electricals,Foreign,US,GEV,GE Vernova Inc.,Electrical Equipment,United States,1045.1700439453125,3236395868.0,True,
White Goods & Electricals,Foreign,US,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,Electrical Equipment,United States,517.75,2752431167.0,True,
White Goods & Electricals,Foreign,US,VRT,Vertiv Holdings Co,Electrical Equipment,United States,303.95001220703125,1965392564.0,True,
White Goods & Electricals,Foreign,US,PG,PROCTER & GAMBLE Co,Household Products,United States,149.02000427246094,1310636697.0,True,
White Goods & Electricals,Foreign,US,CL,COLGATE PALMOLIVE CO,Household Products,United States,92.06999969482422,509706691.0,True,
White Goods & Electricals,Foreign,US,KMB,KIMBERLY CLARK CORP,Household Products,United States,109.37000274658203,447093742.0,True,
White Goods & Electricals,Foreign,US,EMR,EMERSON ELECTRIC CO,Electrical Equipment,United States,143.49000549316406,408213453.0,True,
White Goods & Electricals,India,IN,POWERINDIA,HITACHI ENERGY INDIA LTD,Electrical Equipment,India,34920.0,59182162.0,True,86.89788053949903
White Goods & Electricals,India,IN,SUZLON,SUZLON ENERGY LIMITED,Electrical Equipment,India,58.900001525878906,47545903.0,True,-6.848012095057932
White Goods & Electricals,India,IN,CGPOWER,CG POWER AND IND SOL LTD,Electrical Equipment,India,952.1500244140625,34084337.0,True,38.34362868348165
White Goods & Electricals,India,IN,AMBER,AMBER ENTERPRISES (I) LTD,Furn/Home Furnishings,India,7530.0,27534372.0,True,15.508513575701798
White Goods & Electricals,India,IN,POLYCAB,POLYCAB INDIA LIMITED,Electrical Equipment,India,9961.0,26467034.0,True,66.00283309724189
White Goods & Electricals,India,IN,RRKABEL,R R KABEL LIMITED,Electrical Equipment,India,2395.199951171875,17352061.0,True,81.78506341476883
White Goods & Electricals,India,IN,ENRIN,SIEMENS ENERGY INDIA LTD,Electrical Equipment,India,3683.300048828125,16326591.0,True,
White Goods & Electricals,India,IN,SFL,SFL Corp Ltd.,Furn/Home Furnishings,India,746.9000244140625,15928694.0,True,0.6603806487954778
